frame_number,loss
5.320000000000000000e+02,8.891339530237019062e-04
5.330000000000000000e+02,8.851781603880226612e-04
5.340000000000000000e+02,8.900922257453203201e-04
5.350000000000000000e+02,8.984240703284740448e-04
5.360000000000000000e+02,8.930038893595337868e-04
5.370000000000000000e+02,8.902816334739327431e-04
5.380000000000000000e+02,8.814172470010817051e-04
5.390000000000000000e+02,8.896800572983920574e-04
5.400000000000000000e+02,8.904373971745371819e-04
5.410000000000000000e+02,8.900702814571559429e-04
5.420000000000000000e+02,8.905720897018909454e-04
5.430000000000000000e+02,8.901913533918559551e-04
5.440000000000000000e+02,8.861866663210093975e-04
5.450000000000000000e+02,8.904092828743159771e-04
5.460000000000000000e+02,9.078976581804454327e-04
5.470000000000000000e+02,9.152928832918405533e-04
5.480000000000000000e+02,9.211653377860784531e-04
5.490000000000000000e+02,9.165928349830210209e-04
5.500000000000000000e+02,9.120907634496688843e-04
5.510000000000000000e+02,9.080059826374053955e-04
5.520000000000000000e+02,9.115422726608812809e-04
5.530000000000000000e+02,9.148749522864818573e-04
5.540000000000000000e+02,9.126893128268420696e-04
5.550000000000000000e+02,9.085392230190336704e-04
5.560000000000000000e+02,8.958103717304766178e-04
5.570000000000000000e+02,8.998890989460051060e-04
5.580000000000000000e+02,8.941090782172977924e-04
5.590000000000000000e+02,8.830328006297349930e-04
5.600000000000000000e+02,8.815413457341492176e-04
5.610000000000000000e+02,8.920713444240391254e-04
5.620000000000000000e+02,8.908637682907283306e-04
5.630000000000000000e+02,8.967380854301154613e-04
5.640000000000000000e+02,9.183723595924675465e-04
5.650000000000000000e+02,9.088601218536496162e-04
5.660000000000000000e+02,9.058123105205595493e-04
5.670000000000000000e+02,9.017704869620501995e-04
5.680000000000000000e+02,8.938438259065151215e-04
5.690000000000000000e+02,8.871637401171028614e-04
5.700000000000000000e+02,8.957209065556526184e-04
5.710000000000000000e+02,9.029386565089225769e-04
5.720000000000000000e+02,8.884187554940581322e-04
5.730000000000000000e+02,8.740017656236886978e-04
5.740000000000000000e+02,8.710325346328318119e-04
5.750000000000000000e+02,8.886829018592834473e-04
5.760000000000000000e+02,8.787194383330643177e-04
5.770000000000000000e+02,8.837658097036182880e-04
5.780000000000000000e+02,8.891273755580186844e-04
5.790000000000000000e+02,8.722124039195477962e-04
5.800000000000000000e+02,8.707129163667559624e-04
5.810000000000000000e+02,8.933997596614062786e-04
